id,additions_api,deletions_api,changed_files_api,n_comments,dir_count_api
2500796031,46,24,10,5,10
2608791726,2,1,1,3,1
2317346284,0,0,1,0,1
2544501858,53,48,3,1,3
2498593834,48,38,7,2,4
2569179466,221,33,8,1,3
2607442037,32,6,2,5,1
2612511272,44,9,6,4,6
2531790199,1,1,1,1,1
2450440359,23,0,2,1,2
2340233222,1,1,1,1,1
2370988347,3,0,1,1,1
2492085715,1,1,1,2,1
2295215962,378,319,64,16,26
2537431731,45,15,5,2,3
2604844532,7,8,5,1,4
2366156282,2,0,1,0,1
2609096511,6,6,5,1,5
2609577729,41,1,1,1,1
2513426307,6,0,1,4,1
2557480926,1682,1069,2,3,2
2482501128,626,32,14,3,8
2307322429,63,12,29,4,6
2470198455,134,32,13,20,10
2447749341,558,7,25,3,13
2419773642,6,1,2,4,2
2533258945,230,112,9,3,6
2519322384,9,3,1,1,1
2601183855,454,142,4,6,3
2414045033,219,672,7,5,4
2514467653,7,6,3,0,2
2345306578,10,23,2,8,2
2340251778,6,6,1,3,1
2514445402,9,0,2,5,2
2571429708,384,443,2,2,2
2287070342,7,6,3,0,2
2564432253,960,11,6,14,5
2331412512,7,2,3,4,3
2303182929,132,8,10,11,6
2330556552,0,81,1,3,1
2457719196,9,16,5,0,2
2264202697,129,9,5,5,2
2481035690,15,4,2,5,2
2334120029,8,11,4,0,2
2376096398,6,1,2,3,2
2417386456,9,0,1,12,1
2383671573,31,6,1,2,1
2617930947,5,0,1,3,1
2464553187,95,0,5,4,4
2340530599,39,14,2,5,2
2603983533,5,9,3,4,3
2385253990,8,11,4,0,2
2604758480,7,1,1,3,1
2511140199,29,11,4,6,4
2618505231,12,16,5,0,2
2446306769,46,18,13,5,8
2605488878,76,20,1,2,1
2624575848,84,94,7,2,6
2390753120,138,146,2,1,2
2261607615,16,10,4,1,4
2303951128,4,1,1,2,1
2493589524,2,2,3,1,3
2416338655,1879,411,59,3,29
2340176426,15,0,1,9,1
2552030787,3,1,1,2,1
2260962808,15,0,1,0,1
2488922621,46,8,3,4,3
2321553715,3,2,2,6,2
2606401646,22,52,2,2,1
2530032363,3,5,3,1,3
2318811641,137,46,4,5,4
2586695856,134,16,3,1,3
2392189930,25,6,5,0,3
2396837621,8,7,1,0,1
